texto,produto,fonte_promocao,aspecto,aspecto_detectado,sentimento_aspecto,sentimento_previsto,fonte_classificacao,absa_resultado,absa_correto
Tudo certo. Produto original. E dessa vez a embalagem veio em boas condições. Mas ainda pregam a etiqueta direto no produto. Poderiam ao menos colocar num saquinho e depois pregar pra não estragar a embalagem.,JBL Boombox 4,Double Date,entrega,qualidade,negativo,positivo,lexico,qualidade:positivo,False
Comunicação péssima com o vendedor a caixa veio danificado porém a caixa é excelente original veio tudo certinho,JBL Boombox 4,Double Date,entrega,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"Chegou no tempo certo, aparentemente em bom estado vou fazer o teste!!",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Embalagem veio com os lacres abertos mas com todos os itens em seu interior,JBL Boombox 4,Double Date,entrega,entrega,negativo,positivo,bertimbau,entrega:positivo,False
Chegou rápido adorei caixa maravilhosa e bonita gostei muito msm. maravilhosa a caixa.,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Muito boa, gostei qualidade ótima, veio bem embalado, recomendo",JBL Boombox 4,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Fiquei impressionado com a qualidade do som, já tenho uma Gradiente, mas essa daqui é fora do comum, as duas são muito boas.",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Produto chegou antes do prazo, qualidade e potência JBL.",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"De procedência JBL, me surpreendeu muito, fora da tomada tocando tão alto que nem testei na tomada, e ja fiz um teste contra minha outra partybox 110, mais leve e mais alta essa Boombox 4",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
Só precisa vir melhor embalado,JBL Boombox 4,Double Date,entrega,entrega,negativo,positivo,bertimbau,entrega:positivo,False
Top demais. Chegou bem rápido,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Linda demais, som ótimo. Eu amei demais",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Muito satisfeita com a compra.. volume ótimo.. qualidade excelente...comprem sem medo,E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Produto ótimo, boa qualidade de áudio e bateria com boa capacidade, o mostrador de carga é ótimo, muito fácil de usar, ótimo custo benefício!",E6S TWS,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
O fone é perfeito e parecido com o anuncio o material é ótimo essa cor é maravilhosa tbm. Não tem o que reclamar eu recomendo super,E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Muito bom o produto! O grave do fone é ótimo, volume é bem alto, veio com 80% de bateria, veio com cabo para carregar só que é um pouco pequeno o cabo, mas não é um problema, chegou no prazo certo tudo funcionando.",E6S TWS,Double Date,entrega,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Boa duração, fofinhos, não ficam com luz acesa quando conectados, som alto e nítido, bateria dura",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Produto de boa qualidade, qualidade do som é alta, e chegou antes do prazo determinado. Além de tudo é confortável, modelo diferente e a cor veio certa. Recomendo o vendedor e o produto",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Produto excelente, chegou antes do prazo! Vale muito a pena, principalmente por conta do preço",E6S TWS,Double Date,preço,entrega,positivo,positivo,lexico,entrega:positivo,False
"amei, som dele é muito alto, gostei bastante, veio bem embalado, chegou bem antes do prazo, podem comprar super recomendo",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Fone perfeito. De boa qualidade, volume alto, chegou antes do previsto. Super recomendo",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Qualidade ótima. Vou comprar novamente, preço maravilhoso, volume bem alto, todos funcionando super bem, vem bem embalados, entrega super rápida",E6S TWS,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Muito bons, qualidade de som muito boa, Bluetooth de ótimo alcance, microfone muito bom, bateria ótima ou seja valor maravilhoso, a loja está de parabéns!",E6S TWS,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
Lindos fones bluetooth! Ótimo valor melhor loja do aplicativo! O valor é muito bom comparado aos preços absurdos que os vendedores vendem aqui na minha cidade. Recomendo muito a loja choice oficial.,E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
Muito bom ótima qualidade e o prazo de entrega totalmente rápido chegou antes do prazo pode comprar sem medo muito bom testado e aprovado,E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Não testei se funciona, mas amei o design e as cores que vieram exatamente como pedi, a loja que enviou no tempo certo e os entregadores que conseguiram entregar antes de prazo. Comprem sem medo.",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"O fone é bom! Testei ele por 2 dias, quando chegou fiquei assustada q ele não queria carregar. Porém, Precisa tirar o lacre azul q vem no fone para poder carregar. O Fone em si é mt bom o som dele é bom a bateria dele é boa tbm.",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Produto de muito boa qualidade, ótimo acabamento, cor igual a do anúncio, volume super bom, dura muito a bateria, e é super confortável. Veio muito bem embalado e chegou bem antes do prazo.",E6S TWS,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
Som alto muito bom ótima qualidade veio com 96 porcento de bateria bem embalado vem com cabo de carregador ótimo amei!!!!!!!,E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Muito bom! O som é alto e de qualidade. Dá pra ouvir muito bem os graves e médios. Bateria durou umas 2 horas.,E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Veio a cor certa que eu pedi, volume bom e entrega rápida, indico pois vale muito o preço e qualidade",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"O fone é muito bom, volume alto e pelo preço incrível recomendo",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bom, qualidade, volume, pelo preços é muito bom. Super indico a compra!",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bom, alcança longas distâncias sem travar. Som de boa qualidade e material muito bom também.",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
O fone é excelente!! Veio com um cabo pra carregar. A qualidade do som é boa e bastante alta (oq foi surpreendente pelo valor pago) recomendo!,E6S TWS,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Foi com certeza uma ótima compra. O fone é lindo, o som é limpo e alto, super valeu o custo benefício e chegou dentro do prazo. Super valeu a pena.",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Veio certinho amei o fone vem com o cabo carregador. Já testei e está funcionando normalmente. Comprei novamente. Recomendo o custo benefício é ótimo pós na minha cidade um desse tá 40,00 reais",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bem embalado, som ótimo, chegou no prazo e ainda veio 100% de bateria. Espero que seja bom",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Esses fones são muito bom. Tem o som ótimo. Parabéns a loja e ao entregador também. E com certeza comprei mas.,E6S TWS,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
Entrega super rápida! Em perfeito funcionamento e bem embalado. Ótimo custo benefício. Boa qualidade de som.,E6S TWS,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Os fones são excelentes, volume bom e entrega rápida.",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
O fone é muito bom o som é bem forte e chegou rápido,E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"veio em ótimo estado e com a bateria quase completa. o som é de boa qualidade e bem alto, da pra controlar o volume e a pausa da música pelo fone mesmo isso é ótimo. vou comprar mais!",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"O fone é bom, som alto e claro, bateria dura bastante! É um objeto delicado então tem que tomar muito cuidado pra não derrubar no chão, fora isso, amei.",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Recomendo demais! fones bonitos e bons, durabilidade muito boa e vem todos perfeitinhos!",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"O fone veio certinho, o som é bom e alto, sem ruídos. Ele veio carregado(80%) e acompanha um cabo USB para carregamento. Gostei bastante, só acho que deveria vir melhor embalado.",E6S TWS,Double Date,entrega,entrega,negativo,positivo,lexico,entrega:positivo,False
"Chegou dentro do prazo. Bem embalado. Funcionando perfeitamente, material bom, fácil manuseio. Vem com o cabo para carregar. Recomendo a compra!",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Perfeito. Já veio carregado. Ótimo custo benefício. Funciona bem e não ficou caindo da minha orelha. Vou testar pra correr.,E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muitooo bom, o som é ótimo, bem limpo, o grave e muito bom, é alto, veio funcionando perfeitamente e muito bem embalado. Recomendo e compraria novamente.",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Eu recomendo o produto. Gostei muito dos fones, tem boa duração e o bom som. Tem boa qualidade.",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Ótimo custo-benefício, a bateria dura bastante e o som não é ruim, veio certinho.",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bommm! o audio é perfeito, chegou bem antes do esperado só que não chegou aq em casa tive que buscar nos correios...tirando isso o produto é perfeito!",E6S TWS,Double Date,entrega,entrega,negativo,positivo,lexico,entrega:positivo,False
Muito bom fones podem compra sem medo chega tudo certinho parabéns para o vendedor estão todos de parabéns estão pegando tudo perfeitamente custo muito bom parabéns irei compra mais,E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Chegou e testei o produto, os fones estão funcionando normalmente, o volume não muito alto, pelo custo benefício vale muito a pena adquirir o produto.",E6S TWS,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Adorei minha compra! Vale super a pena. O fone veio super bem embalado e ainda veio com bateria para poder testá-lo, funcionando perfeitamente e a cor é linda! Irei comprar mais com certeza",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"O fone veio bem embalado e é muito bonito, ele é de um material mt bom e a caixinha é mt segura, a caixinha veio com 100% de batería, ele chegou quase uma semana antes do prazo, vale mtt a pena!!",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Ótimo custo benefício, reduz o som ao redor, altura ótima, super confortável, muito bom, super recomendo",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bom o fone, funcionando perfeitamente, o som também e bom!",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Amei, a cor é linda, veio bem embalado, o som é bem alto e é fácil de mexer, se não conseguirem usar, assistam vídeos, tem vários explicando como usar. Eu amei esse",E6S TWS,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Veio certinho, a qualidade do som fica boa e é bem alto, o detalhe em mostrar a porcentagem de bateria da caixinha é bem interessante.",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Muito bom o produto, chegou antes do prazo e também funciona perfeitamente.",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Entrega rápida, veio em perfeito estado, pelo preço está ótimo.",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Amei o fone! Entregaram antes do prazo. Podem comprar. O som em si é alto, gosto disso.",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Ótimo fone, alta qualidade sonora, graves, agudos e médios, o som contagia, é muito alto mesmo e tem uma ótima qualidade. O vendedor enviou em um dia, e chegou mais de 5 dias antes do prazo de entrega, a única crítica é o cabo dele, deveria ser mais grande, mas pela qualidade do produto por esse valor, está excelente, não tem oque reclamar!!",E6S TWS,Double Date,preço,entrega,positivo,positivo,lexico,entrega:positivo,False
"Chegou super rápido e a qualidade é boa, vale o custo benefício.",E6S TWS,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Ameii, o fone chegou antes do prazo, ele é perfeito, além de vim com o cabo USB ele é super alto e carrega muito rápido recomendo demais",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Adorei o fone! Chegou 2 dias antes do prazo de entrega, gostei que veio na cor certa e veio carregado em 100% e o som é bem alto, porém, achei a caixinha do fone meio vagabunda, mas, foi barato então não tem nem como falar nada, mas, mesmo assim, gostei muito do fone.",E6S TWS,Double Date,preço,entrega,positivo,positivo,lexico,entrega:positivo,False
"Muito bom, ótima qualidade, chegou do jeito que pedi e chegou antes do prazo, o volume dele e bom",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Os fones são de ótima qualidade, som muito bom e o fato de existir um counter da bateria ajuda muito!",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Eu amei, veio bem embalado com bateria, o som é bem auto e n vaza o som pra outra pessoa ouvir, vem com o cabo pra carregar também",E6S TWS,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou antes do prazo. Gostei bastante, o som é bem alto e não demora muito para carregar, compraria novamente!",E6S TWS,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Som bom, não é muito alto. Bluetooth. Não é grandão nem muito pequeno. Para minha orelha, achei grande. Cor viva. Veio um cabo branco, fino USB para conectar no carregador.",E6S TWS,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"Amei demais a caixa de som, ótima qualidade, loja super confiável sou do estado do Pará, porém muito longe da capital, afuá Pará",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Ótima caixa, chegou no prazo ela é potente original",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"A caixa é bonita, toca muito bem, ainda depois da atualização que ela ficou melhor ainda.",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Super satisfeita com a qualidade do som. Produto ótimo, original, podem comprar sem medo de ser feliz. Potência perfeita",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Gostei de mais chegou certinho e dentro do prazo recomendo muito!!,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Venda excelente, chegou até antes do tempo, quanto ao produto PERFEITO.",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Produto de qualidade 100% original loja top! Com nota fiscal!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Ótima caixa a melhor que já pode testar,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Tenho a caixa 520, maravilhosa, e essa sem dúvidas top também.",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
muito linda qualidade absurda da JBL nessa caixa ótimo dms,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Produto muito bom,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Demorou quase uma semana pra enviar mas chegou no prazo,JBL Boombox 4,Double Date,entrega,entrega,neutro,negativo,lexico,entrega:negativo,False
Caixa top. Conforme o anunciado,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
Caixa de excelente qualidade!!!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"a caixa veio aberta sem o lacre da JBL mas no final estava tudo correto, caixa original",JBL Boombox 4,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Caixa muito bonita, e entrega rápida.",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
boombox 4 é show!!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
"Fiquei decepcionado pois achei que ia abrir a caixa lacrada. E também não veio com a nota fiscal, vou pedir a loja agora mesmo. Pq fiquei com dúvida sobre a integridade do produto",JBL Boombox 4,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
Chegou bem embalado. Tudo certo. Som potente,JBL Boombox 4,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
Chegou rápido muito top,JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Ótimo produto,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Muito boa, sim ótimo",JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Muito boa. Maravilha,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Qualidade sonora com portabilidade!,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
Pode comprar produto muito bom,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Bom gostei muito do produto da marca da pra usar perfeitamente gostei muito da loja,JBL Boombox 4,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou direitinho, tudo bem embalado, mas faltou a nota fiscal",JBL Boombox 4,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
"Chegou no tempo certo, aparentemente em bom estado vou fazer o teste!!",JBL Boombox 4,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Chegou rápido adorei caixa maravilhosa e bonita gostei muito msm. maravilhosa a caixa.,JBL Boombox 4,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Muito boa, gostei qualidade ótima, veio bem embalado, recomendo",JBL Boombox 4,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
O fone é perfeito e parecido com o anuncio o material é ótimo essa cor é maravilhosa tbm. Não tem o que reclamar eu recomendo super,E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Muito bom o produto! O grave do fone é ótimo, volume é bem alto, veio com 80% de bateria, veio com cabo para carregar só que é um pouco pequeno o cabo, mas não é um problema, chegou no prazo certo tudo funcionando.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Boa duração, fofinhos, não ficam com luz acesa quando conectados, som alto e nítido, bateria dura",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Produto de boa qualidade, qualidade do som é alta, e chegou antes do prazo determinado. Além de tudo é confortável, modelo diferente e a cor veio certa. Recomendo o vendedor e o produto",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Produto excelente, chegou antes do prazo! Vale muito a pena, principalmente por conta do preço",E6S TWS Bluetooth,Double Date,preço,entrega,positivo,positivo,lexico,entrega:positivo,False
"amei, som dele é muito alto, gostei bastante, veio bem embalado, chegou bem antes do prazo, podem comprar super recomendo",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Fone perfeito. De boa qualidade, volume alto, chegou antes do previsto. Super recomendo",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Qualidade ótima. Vou comprar novamente, preço maravilhoso, volume bem alto, todos funcionando super bem, vem bem embalados, entrega super rápida",E6S TWS Bluetooth,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Muito bons, qualidade de som muito boa, Bluetooth de ótimo alcance, microfone muito bom, bateria ótima ou seja valor maravilhoso, a loja está de parabéns!",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Lindos fones bluetooth! Ótimo valor melhor loja do aplicativo!,E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
Muito bom ótima qualidade e o prazo de entrega totalmente rápido chegou antes do prazo pode comprar sem medo muito bom testado e aprovado,E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Não testei se funciona, mas amei o design e as cores que vieram exatamente como pedi, a loja que enviou no tempo certo e os entregadores que conseguiram entregar antes de prazo. Comprem sem medo.",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"O fone é bom! Testei ele por 2 dias, quando chegou fiquei assustada q ele não queria carregar. Porém, Precisa tirar o lacre azul q vem no fone para poder carregar. O Fone em si é mt bom o som dele é bom a bateria dele é boa tbm.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
